Date,Open,High,Low,Close,Adj Close,Volume,Dollar
10-10-2008,155.995285,170.306656,154.570633,165.380112,165.380112,21275046,43.51
13-10-2008,177.230698,190.261856,172.229446,189.798584,189.798584,17877760,43.51
14-10-2008,196.030228,196.513412,177.833435,180.67778,180.67778,15627959,43.51
15-10-2008,176.662827,178.829697,168.782364,168.951721,168.951721,13493187,43.51
16-10-2008,165.758698,177.584366,154.142242,175.850861,175.850861,32601141,43.51
17-10-2008,188.77243,192.279297,181.096207,185.574417,185.574417,28605219,43.51
20-10-2008,189.165955,189.778656,179.123596,188.951767,188.951767,13557427,43.51
21-10-2008,185.499695,191.173431,180.324097,180.697708,180.697708,11607345,43.51
22-10-2008,177.828461,184.154739,171.357712,177.170914,177.170914,13169177,43.51
23-10-2008,176.164688,178.331573,168.363937,175.502182,175.502182,13006369,43.51
24-10-2008,162.625443,174.580627,161.763672,169.011505,169.011505,14773167,43.51
27-10-2008,166.779861,170.859573,162.192062,164.129807,164.129807,12447883,43.51
28-10-2008,168.891953,183.965454,163.641632,183.686493,183.686493,16271562,43.51
29-10-2008,182.212021,184.807297,175.527084,178.331573,178.331573,19586340,43.51
30-10-2008,183.542038,185.305435,178.515884,179.173416,179.173416,16037689,43.51
31-10-2008,177.415009,185.285507,176.473541,179.009033,179.009033,14902249,43.51
03-11-2008,178.12236,180.817245,170.077515,172.598053,172.598053,11953638,43.51
04-11-2008,176.060089,185.484756,172.104904,182.784882,182.784882,14754898,43.51
05-11-2008,180.398819,183.751251,170.017731,170.480988,170.480988,13945074,43.51
06-11-2008,169.350235,171.566925,162.296677,164.991577,164.991577,17213881,43.51
07-11-2008,165.938019,169.938034,162.057571,164.951721,164.951721,9397693,43.51
10-11-2008,163.387589,164.104889,154.157181,158.7948,158.7948,16220772,43.51
11-11-2008,153.768631,157.559433,149.698898,155.148468,155.148468,20369264,43.51
12-11-2008,150.461029,155.661545,143.342712,144.956665,144.956665,20177548,43.51
13-11-2008,145.340225,155.915588,139.477203,155.457306,155.457306,26568614,43.51
14-11-2008,151.058792,161.888199,150.715088,154.431152,154.431152,19105545,43.51
17-11-2008,150.934265,154.5009,148.418686,149.499634,149.499634,15144152,43.51
